,Unnamed: 0,Endo_id,name,uniprot,ensembl,binding_hormones,anatomical structure
46,46,ENR00604,LRP1,Q07954,ENST00000393833,"['ENH00417', 'ENH00965', 'ENH00718']",[]
47,47,ENR00608,IL-12beta2R,Q99665,ENST00000441640,[],"['ENC00292', 'ENC00288']"
48,48,ENR00611,IL-5Ralpha,Q01344,ENST00000456302,['ENH00327'],"['ENC00219', 'ENC00251']"
49,49,ENR00616,GABA-AR-beta2,P47870,ENST00000393959,['ENH00246'],[]
50,50,ENR00617,TPO-R,P40238,ENST00000413998,['ENH00220'],[]
51,51,ENR00618,IL-9Ralpha,Q01113,ENST00000424344,['ENH00328'],[]
52,52,ENR00620,CD23,P06734,ENST00000394208,['ENH00730'],['ENC00233']
53,53,ENR00621,IL-15R alpha,Q13261,ENST00000453922,['ENH00321'],"['ENC00247', 'ENC00216', 'ENC00222', 'ENC00283', 'ENC00088', 'ENC00244']"
54,54,ENR00622,GluR-1,P42261,ENST00000340592,['ENH00734'],"['ENC00265', 'ENC00266']"
55,55,ENR00623,GRIN2A,Q12879,ENST00000404927,"['ENH00734', 'ENH00685']",[]
56,56,ENR00624,GRIN2B,Q13224,ENST00000279593,"['ENH00734', 'ENH00685']",[]
57,57,ENR00625,GRIN2C,Q14957,ENST00000347612,"['ENH00734', 'ENH00685']",[]
58,58,ENR00626,GRIN1,Q05586,ENST00000371561,"['ENH00734', 'ENH00685']",[]
59,59,ENR00627,AXL,P30530,ENST00000359092,['ENH00283'],[]
60,60,ENR00628,IL-18Rbeta,O95256,ENST00000450855,[],"['ENC00292', 'ENC00287', 'ENC00288']"
61,61,ENR00629,IL-2R gamma chain,P31785,ENST00000456850,[],"['ENC00379', 'ENC00287', 'ENC00233']"
62,62,ENR00631,OSMRbeta,Q99650,ENST00000431988,['ENH00244'],[]
63,63,ENR00632,LIFR,P42702,ENST00000453190,"['ENH00244', 'ENH00185', 'ENH00320']",['ENC00037']
64,64,ENR00634,IL-11Ralpha,Q14626,ENST00000441545,['ENH00251'],"['ENC00115', 'ENC00037']"
65,65,ENR00635,NGF receptor,P08138,ENST00000172229,"['ENH00268', 'ENH00099', 'ENH00229', 'ENH00267', 'ENH00225']",[]
66,66,ENR00636,Tie2,Q02763,ENST00000406359,"['ENH00284', 'ENH00285', 'ENH00289']","['ENC00231', 'ENC00300', 'ENC00074', 'ENC00112', 'ENC00020', 'ENC00063', 'ENC00429']"
67,67,ENR00639,Notch1,P46531,ENST00000277541,['ENH00575'],[]
68,68,ENR00646,LRP6,O75581,ENST00000261349,"['ENH00498', 'ENH00507']",[]
69,69,ENR00648,frizzled 5,Q13467,ENST00000295417,['ENH00483'],[]
70,70,ENR00650,alpha7nAChR,P36544,ENST00000455693,['ENH00226'],['ENC00011']
71,71,ENR00653,IL-8R B,P25025,ENST00000454148,"['ENH00282', 'ENH00286', 'ENH00277', 'ENH00363', 'ENH00279', 'ENH00235']","['ENC00217', 'ENC00247', 'ENC00292']"
72,72,ENR00654,ALK4,P36896,ENST00000426655,"['ENH00683', 'ENH00681', 'ENH00680']",['ENC00037']
73,73,ENR00656,c-Mer,Q12866,ENST00000449344,['ENH00283'],[]
74,74,ENR00657,DCC,P43146,ENST00000442544,"['ENH00841', 'ENH00843']",[]
75,75,ENR00661,IL-17Rh1,Q9NRM6,ENST00000288167,"['ENH00584', 'ENH00386']",[]
76,76,ENR00666,InsR-B,P06213,ENST00000341500,['ENH00096'],[]
77,77,ENR00671,AMHR-II,Q16671,ENST00000379791,['ENH00374'],[]
78,78,ENR00676,CCR9,P51686,ENST00000422395,"['ENH00403', 'ENH00404']","['ENC00144', 'ENC00306', 'ENC00130']"
79,79,ENR00677,D6,O00590,ENST00000442925,"['ENH00348', 'ENH00256', 'ENH00334', 'ENH00276']","['ENC00074', 'ENC00306']"
80,80,ENR00680,XCR-1,P46094,ENST00000395946,['ENH00291'],[]
81,81,ENR00682,CXCR3,P49682,ENST00000373693,"['ENH00331', 'ENH00347', 'ENH00329', 'ENH00336', 'ENH00391']","['ENC00247', 'ENC00292']"
82,82,ENR00683,CXCR5,P32302,ENST00000292174,['ENH00390'],['ENC00292']
83,83,ENR00684,CX3CR1,P49238,ENST00000435290,['ENH00578'],"['ENC00418', 'ENC00292', 'ENC00050', 'ENC00284', 'ENC00423']"
84,84,ENR00685,CCR1,P32246,ENST00000296140,"['ENH00393', 'ENH00401', 'ENH00334', 'ENH00349', 'ENH00276', 'ENH00348', 'ENH00398']",['ENC00247']
85,85,ENR00687,CCR-2,P41597,ENST00000445132,"['ENH00334', 'ENH00400', 'ENH00256']",['ENC00247']
86,86,ENR00688,CCR3,P51677,ENST00000457243,"['ENH00393', 'ENH00334', 'ENH00395', 'ENH00396', 'ENH00397', 'ENH00406', 'ENH00400', 'ENH00276', 'ENH00408', 'ENH00329', 'ENH00398']","['ENC00450', 'ENC00219', 'ENC00247', 'ENC00217']"
87,87,ENR00689,CCR4,P51679,ENST00000330953,"['ENH00335', 'ENH00256', 'ENH00399', 'ENH01108']","['ENC00144', 'ENC00288', 'ENC00251', 'ENC00013', 'ENC00287']"
88,88,ENR00695,RAR-beta,P10826,ENST00000458646,[],"['ENC00074', 'ENC00216']"
89,89,ENR00696,RXR-alpha,P19793,ENST00000356384,['ENH00192'],"['ENC00020', 'ENC00249', 'ENC00074', 'ENC00063', 'ENC00048', 'ENC00216']"
90,90,ENR00702,FGFR-4,P22455,ENST00000453701,"['ENH00304', 'ENH00296', 'ENH00298', 'ENH00073', 'ENH00072', 'ENH00299', 'ENH00654', 'ENH00653', 'ENH00227']",['ENC00249']
91,91,ENR00705,IL6ST,P40189,ENST00000423954,"['ENH00250', 'ENH00320']",['ENC00037']
92,92,ENR00708,ErbB3,P21860,ENST00000450146,"['ENH00243', 'ENH00319', 'ENH00318', 'ENH00861', 'ENH00867']",[]
93,93,ENR00709,Interleukin-21 receptor,Q9HBE5,empty0,['ENH00389'],[]
94,94,ENR00710,Interleukin-22 receptor subunit alpha-1,Q8N6P7,empty0,"['ENH00310', 'ENH00702']","['ENC00597', 'ENC00112', 'ENC00306', 'ENC00125', 'ENC00244', 'ENC00144', 'ENC00130']"
95,95,ENR00711,IL-10R-beta,Q08334,ENST00000451624,"['ENH00697', 'ENH00698', 'ENH00699', 'ENH00237', 'ENH00894']",[]
96,96,ENR00716,RANK,Q9Y6Q6,ENST00000382790,['ENH00409'],['ENC00096']
97,97,ENR00720,ErbB2,P04626,ENST00000445658,"['ENH00243', 'ENH00862', 'ENH00867']",[]
98,98,ENR00725,H3,Q9Y5N1,ENST00000456442,['ENH00219'],"['ENC00247', 'ENC00228', 'ENC00219']"
99,99,ENR00732,PGF2-alpha receptor,P43088,ENST00000370758,['ENH00690'],"['ENC00184', 'ENC00112', 'ENC00246']"
100,100,ENR00733,PGI receptor,P43119,ENST00000291294,"['ENH00346', 'ENH00728']","['ENC00074', 'ENC00112', 'ENC00102', 'ENC00247', 'ENC00013']"
101,101,ENR00736,NK-3R,P29371,ENST00000304883,"['ENH00054', 'ENH00621', 'ENH00623']",[]
102,102,ENR00743,V1a,P37288,ENST00000299178,['ENH00098'],"['ENC00074', 'ENC00249']"
103,103,ENR00748,H1,P35367,ENST00000438284,['ENH00219'],"['ENC00088', 'ENC00249', 'ENC00250', 'ENC00231', 'ENC00244', 'ENC00217', 'ENC00228', 'ENC00233', 'ENC00287']"
104,104,ENR00752,5-ht-7R,P34969,ENST00000371721,['ENH00166'],[]
105,105,ENR00753,LTB4-R1,Q15722,ENST00000396789,"['ENH00990', 'ENH00586', 'ENH00997', 'ENH00998', 'ENH00999', 'ENH00991', 'ENH00995', 'ENH00993', 'ENH00992', 'ENH00994', 'ENH01000']","['ENC00048', 'ENC00122', 'ENC00020', 'ENC00418', 'ENC00248']"
106,106,ENR00769,NT-R2,O95665,ENST00000306928,['ENH00099'],['ENC00161']
107,107,ENR00775,prostanoid DP receptor,Q13258,ENST00000306051,['ENH00649'],[]
108,108,ENR00787,gal3,O60755,ENST00000249041,['ENH00181'],[]
109,109,ENR00791,5-HT-1B,P28222,ENST00000369947,['ENH00166'],[]
110,110,ENR00792,5-HT-1D,P28221,ENST00000374619,['ENH00166'],"['ENC00361', 'ENC00487']"
111,111,ENR00793,5-ht-1E,P28566,ENST00000369584,['ENH00166'],[]
112,112,ENR00794,5-ht-1F,P30939,ENST00000319595,['ENH00166'],[]
113,113,ENR00809,adenosine receptor 1,P30542,ENST00000367236,['ENH00247'],[]
114,114,ENR00810,adenosine receptor 2A,P29274,ENST00000444262,['ENH00247'],[]
115,115,ENR00812,adenosine receptor 3,P33765,ENST00000443498,['ENH00247'],[]
116,116,ENR00815,mGluR8,O00222,ENST00000457830,['ENH00734'],[]
117,117,ENR00818,dopamine receptor D3,P35462,ENST00000383673,['ENH00021'],"['ENC00539', 'ENC00161', 'ENC00556']"
118,118,ENR00819,delta opioid receptor,P41143,ENST00000234961,"['ENH00604', 'ENH00684', 'ENH00685']",[]
119,119,ENR00820,KOR,P41145,ENST00000396798,"['ENH00604', 'ENH00684', 'ENH00685', 'ENH01152']",[]
120,120,ENR00821,MOR-1,P35372,ENST00000452687,"['ENH00646', 'ENH00604', 'ENH00684', 'ENH00685']",[]
121,121,ENR00826,CB2,P34972,ENST00000374472,"['ENH01083', 'ENH01052', 'ENH01081', 'ENH01082']",['ENC00248']
122,122,ENR00828,mGluR2,Q14416,ENST00000442933,['ENH00734'],['ENC00020']
123,123,ENR00829,mGluR3,Q14832,ENST00000454217,['ENH00734'],[]
124,124,ENR00830,mGluR4,Q14833,ENST00000455714,['ENH00734'],"['ENC00262', 'ENC00050', 'ENC00361', 'ENC00413']"
125,125,ENR00831,mGluR5,P41594,ENST00000455756,['ENH00734'],['ENC00540']
126,126,ENR00832,mGluR6,O15303,ENST00000458391,['ENH00734'],[]
127,127,ENR00833,mGluR7,Q14831,ENST00000458641,['ENH00734'],[]
128,128,ENR00838,SCFR,P10721,ENST00000412167,['ENH00307'],"['ENC00318', 'ENC00078']"
129,129,ENR00840,IL-7Ralpha,P16871,ENST00000426051,['ENH00288'],[]
130,130,ENR00845,VEGFR-3,P35916,ENST00000432592,"['ENH00269', 'ENH00516']",[]
131,131,ENR00846,Tyro-3,Q06418,ENST00000263798,['ENH00283'],[]
132,132,ENR00848,TGFR-3,Q03167,ENST00000417833,"['ENH00213', 'ENH00332']","['ENC00037', 'ENC00112']"
133,133,ENR00851,parathyroid hormone 2 receptor,P49190,ENST00000419079,"['ENH00107', 'ENH01074']","['ENC00020', 'ENC00102', 'ENC00140', 'ENC00112', 'ENC00247', 'ENC00276', 'ENC00217', 'ENC00074']"
134,134,ENR00855,IGF-2R,P11717,ENST00000407414,"['ENH00185', 'ENH00306', 'ENH00165', 'ENH00084']",['ENC00007']
135,135,ENR00859,IFNGR2,P38484,ENST00000457700,['ENH00265'],[]
136,136,ENR00860,IFNAR1,P17181,ENST00000442357,[],['ENC00247']
137,137,ENR00862,IL-2R beta,P14784,ENST00000453962,['ENH00325'],"['ENC00427', 'ENC00287']"
138,138,ENR00863,IL-3R alpha,P26951,ENST00000432757,['ENH00326'],[]
139,139,ENR00866,GluR-2,P42262,ENST00000449365,['ENH00734'],"['ENC00020', 'ENC00265', 'ENC00266']"
140,140,ENR00867,GluR-4,P48058,ENST00000428631,['ENH00734'],"['ENC00265', 'ENC00266']"
141,141,ENR00869,GluR-5,P39086,ENST00000399914,['ENH00734'],[]
142,142,ENR00870,GluR-6,Q13002,ENST00000455610,['ENH00734'],[]
143,143,ENR00871,KA2,Q16478,ENST00000454993,['ENH00734'],[]
144,144,ENR00872,GFR-alpha-1,P56159,ENST00000439649,"['ENH00378', 'ENH00377', 'ENH00376']",[]
145,145,ENR00882,CSF2RB,P32927,ENST00000421539,"['ENH00266', 'ENH00326', 'ENH00327']",['ENC00219']
146,146,ENR00890,kinectin,Q86UP2,ENST00000438792,['ENH01154'],[]
147,147,ENR00900,GluR-7,Q13003,ENST00000373093,['ENH00734'],[]
148,148,ENR00912,CCR8,P51685,ENST00000414803,['ENH00402'],[]
149,149,ENR00913,CCR10,P46092,ENST00000332438,"['ENH00405', 'ENH00408']",[]
150,150,ENR00914,CCR11,Q9NPB9,ENST00000424114,"['ENH00256', 'ENH00333', 'ENH00179', 'ENH00400', 'ENH00350', 'ENH00403']",[]
151,151,ENR00926,GABA-BR2,O75899,ENST00000259455,['ENH00246'],[]
152,152,ENR00928,galanin receptor 2,O43603,ENST00000329003,"['ENH00181', 'ENH01076']","['ENC00050', 'ENC00063', 'ENC00027', 'ENC00025', 'ENC00026']"
153,153,ENR00929,dopamine receptor D4,P21917,empty0,['ENH00021'],"['ENC00063', 'ENC00011', 'ENC00157', 'ENC00168', 'ENC00169', 'ENC00275', 'ENC00182', 'ENC00539']"
154,154,ENR00932,KA1,Q16099,ENST00000438375,['ENH00734'],[]
155,155,ENR00953,adiponectin receptor 1,Q96A54,ENST00000436244,['ENH00080'],[]
156,156,ENR00954,adiponectin receptor 2,Q86V24,ENST00000357103,['ENH00080'],[]
157,157,ENR00955,MRGX2,Q96LB1,ENST00000329773,"['ENH00136', 'ENH00141']",[]
158,158,ENR00959,calcitonin-receptor-like receptor,Q16602,ENST00000447403,"['ENH00228', 'ENH00145', 'ENH00138', 'ENH00137', 'ENH00103']","['ENC00074', 'ENC00207', 'ENC00259', 'ENC00260', 'ENC00261', 'ENC00041', 'ENC00067', 'ENC00157', 'ENC00062', 'ENC00093', 'ENC00460']"
159,159,ENR00969,gonadotropin-releasing hormone receptor 2,Q96P88,empty0,"['ENH00134', 'ENH00146']",[]
160,160,ENR00971,growth hormone receptor delta 3,P10912,ENST00000357703,['ENH00111'],[]
161,161,ENR00972,GPR10,P49683,ENST00000369169,"['ENH00153', 'ENH00152']","['ENC00361', 'ENC00322']"
162,162,ENR00974,motilin receptor,O43193,ENST00000398307,['ENH00161'],[]
163,163,ENR00980,angiotensin receptor 3,empty0,empty0,['ENH00097'],[]
164,164,ENR00981,angiotensin receptor 4,empty0,empty0,['ENH00415'],[]
165,165,ENR00983,thyroid hormone receptor alpha2,P10827,ENST00000450525,[],"['ENC00250', 'ENC00093', 'ENC00216']"
166,166,ENR00986,galanin receptor 3,O60755,ENST00000249041,['ENH00181'],"['ENC00009', 'ENC00050', 'ENC00102', 'ENC00127', 'ENC00140', 'ENC00145', 'ENC00122']"
167,167,ENR00987,dopamine receptor D5,P21918,ENST00000304374,['ENH00021'],"['ENC00130', 'ENC00048', 'ENC00011', 'ENC00539', 'ENC00413', 'ENC00361', 'ENC00050']"
168,168,ENR00988,RXR-gamma,P48443,ENST00000367891,['ENH00743'],['ENC00074']
169,169,ENR00989,RXR-beta,P28702,ENST00000456979,['ENH00743'],"['ENC00074', 'ENC00249']"
170,170,ENR00990,RAR-gamma,P13631,ENST00000425354,['ENH00743'],[]
171,171,ENR00991,GR-beta,P04150,ENST00000454007,[],"['ENC00063', 'ENC00074', 'ENC00020', 'ENC00048', 'ENC00216', 'ENC00122', 'ENC00217', 'ENC00218', 'ENC00219']"
172,172,ENR00992,orexin receptor 2,O43614,ENST00000370862,"['ENH00158', 'ENH00159']",['ENC00176']
173,173,ENR00994,melanin-concentrating hormone receptor 1,Q99705,ENST00000381433,['ENH00157'],"['ENC00025', 'ENC00220', 'ENC00191']"
174,174,ENR00995,melanin-concentrating hormone receptor 2,Q969V1,ENST00000445970,['ENH00157'],[]
175,175,ENR00996,LRP2,P98164,ENST00000443831,['ENH00941'],[]
176,176,ENR00998,histamine H4 receptor,Q9H3N8,ENST00000426880,['ENH00219'],"['ENC00078', 'ENC00248', 'ENC00018', 'ENC00219', 'ENC00217', 'ENC00228', 'ENC00251', 'ENC00088', 'ENC00249', 'ENC00130', 'ENC00144', 'ENC00074', 'ENC00127', 'ENC00184', 'ENC00048', 'ENC00287']"
177,177,ENR01000,ErbB4,Q15303,ENST00000436443,"['ENH00319', 'ENH00442', 'ENH00443', 'ENH00318', 'ENH00867', 'ENH00316', 'ENH00861', 'ENH00243', 'ENH00317', 'ENH00444']",[]
178,178,ENR01001,IL-12R,empty0,empty0,['ENH00259'],[]
179,179,ENR01004,ferroportin-1,Q9NP59,ENST00000455320,['ENH00361'],"['ENC00309', 'ENC00216', 'ENC00249', 'ENC00273', 'ENC00112']"
180,180,ENR01008,T-cadherin,P55290,ENST00000446376,"['ENH00947', 'ENH00080']","['ENC00128', 'ENC00231', 'ENC00086']"
181,181,ENR01009,IL-5R,Q01344,ENST00000456302,['ENH00327'],"['ENC00219', 'ENC00305']"
182,182,ENR01011,IL -3R,empty0,empty0,['ENH00326'],['ENC00318']
183,183,ENR01017,CD44 isoform 1,P16070,ENST00000449691,"['ENH00453', 'ENH00946']","['ENC00222', 'ENC00102', 'ENC00074']"
184,184,ENR01019,laminin receptor,P08865,ENST00000458478,['ENH00825'],"['ENC00074', 'ENC00184', 'ENC00018', 'ENC00020', 'ENC00306', 'ENC00097', 'ENC00112', 'ENC00115', 'ENC00125']"
185,185,ENR01020,glucagon-like peptide 2 receptor,O95838,ENST00000458005,['ENH00467'],"['ENC00344', 'ENC00184', 'ENC00127', 'ENC00244', 'ENC00132']"
186,186,ENR01024,integrin beta-1,P05556,ENST00000437302,['ENH00740'],"['ENC00112', 'ENC00122', 'ENC00283', 'ENC00379']"
187,187,ENR01028,B-CAM,P50895,ENST00000391955,['ENH00522'],"['ENC00020', 'ENC00014', 'ENC00342', 'ENC00018', 'ENC00063', 'ENC00112', 'ENC00122']"
188,188,ENR01029,frizzled 1,Q9UP38,ENST00000287934,"['ENH00480', 'ENH00479', 'ENH00477', 'ENH00478']","['ENC00048', 'ENC00112', 'ENC00074', 'ENC00063', 'ENC00102', 'ENC00115', 'ENC00097', 'ENC00145', 'ENC00062']"
189,189,ENR01030,frizzled 3,Q9NPG1,ENST00000240093,[],"['ENC00262', 'ENC00050', 'ENC00171', 'ENC00102', 'ENC00062', 'ENC00222', 'ENC00132', 'ENC00233']"
190,190,ENR01031,frizzled 9,O00144,ENST00000344575,"['ENH00536', 'ENH00486', 'ENH00490']","['ENC00020', 'ENC00323', 'ENC00063', 'ENC00122', 'ENC00140']"
191,191,ENR01032,frizzled 10,Q9ULW2,ENST00000229030,"['ENH00487', 'ENH00486']","['ENC00020', 'ENC00262', 'ENC00048', 'ENC00050', 'ENC00011', 'ENC00181', 'ENC00102', 'ENC00112', 'ENC00258', 'ENC00122', 'ENC00357', 'ENC00130', 'ENC00134', 'ENC00587', 'ENC00588']"
192,192,ENR01033,kremen 1,Q96MU8,ENST00000453585,['ENH00498'],"['ENC00323', 'ENC00093']"
193,193,ENR01034,kremen 2,Q8NCW0,ENST00000451815,"['ENH00498', 'ENH00502', 'ENH00499']","['ENC00020', 'ENC00246']"
194,194,ENR01042,PLXNA1,Q9UIW2,ENST00000393409,"['ENH00535', 'ENH00561', 'ENH00560']",[]
195,195,ENR01044,PLXNA2,O75051,ENST00000367033,['ENH00535'],"['ENC00020', 'ENC00122', 'ENC00112']"
196,196,ENR01045,PLXNA3,P51805,ENST00000369682,['ENH00535'],[]
197,197,ENR01046,PLXNA4,Q9HCM2,ENST00000424465,['ENH00535'],[]
198,198,ENR01048,PLXNB2,O15031,ENST00000449103,['ENH00580'],[]
199,199,ENR01049,CXCR6,O00574,ENST00000458629,['ENH00581'],[]
200,200,ENR01051,CysLTR1,Q9Y271,ENST00000373304,"['ENH00589', 'ENH00997', 'ENH00586', 'ENH00990', 'ENH00991', 'ENH00993', 'ENH00998', 'ENH00994', 'ENH01000', 'ENH01004', 'ENH01003', 'ENH00590', 'ENH00588', 'ENH00999', 'ENH00992', 'ENH00995']","['ENC00130', 'ENC00074', 'ENC00112', 'ENC00127', 'ENC00102', 'ENC00184', 'ENC00048', 'ENC00389']"
201,201,ENR01052,CysLTR2,Q9NS75,ENST00000282018,"['ENH00590', 'ENH00589', 'ENH00588']","['ENC00048', 'ENC00112', 'ENC00130', 'ENC00389', 'ENC00009', 'ENC00074', 'ENC00128']"
202,202,ENR01053,LTB4-R2,Q9NPC1,ENST00000336557,"['ENH00586', 'ENH00993', 'ENH00995', 'ENH00999', 'ENH01001', 'ENH00992', 'ENH00991', 'ENH00990', 'ENH00997', 'ENH00998', 'ENH00994', 'ENH01000']",['ENC00248']
203,203,ENR01057,NPFF-R2,Q9Y5X5,ENST00000440461,"['ENH00594', 'ENH00595']",[]
204,204,ENR01058,GPR7,P48145,ENST00000331251,"['ENH00600', 'ENH00602', 'ENH00601', 'ENH00599']","['ENC00262', 'ENC00275', 'ENC00050', 'ENC00182', 'ENC00315', 'ENC00322']"
205,205,ENR01059,GPR8,P48146,ENST00000369768,"['ENH00600', 'ENH00601', 'ENH00602', 'ENH00599']",[]
206,206,ENR01060,OPRL1,P41146,ENST00000450417,['ENH00474'],"['ENC00163', 'ENC00361', 'ENC00050', 'ENC00182', 'ENC00134', 'ENC00357']"
207,207,ENR01061,sVEGF-R1,P17948,ENST00000282397,"['ENH00231', 'ENH00514', 'ENH00272']","['ENC00074', 'ENC00112', 'ENC00063', 'ENC00048', 'ENC00020', 'ENC00150']"
208,208,ENR01063,apelin receptor,P35414,ENST00000444275,"['ENH00613', 'ENH00614', 'ENH00615', 'ENH00616']","['ENC00280', 'ENC00284', 'ENC00130', 'ENC00144', 'ENC00097', 'ENC00127', 'ENC00184', 'ENC00025', 'ENC00050']"
209,209,ENR01064,bombesin receptor 3,P32247,ENST00000370648,['ENH00150'],[]
210,210,ENR01065,NMU-R1,Q9HB89,ENST00000305141,['ENH00625'],"['ENC00262', 'ENC00050', 'ENC00357', 'ENC00140']"
211,211,ENR01066,NMU-R2,Q9GZQ4,ENST00000255262,['ENH00625'],"['ENC00408', 'ENC00357', 'ENC00413', 'ENC00140', 'ENC00102', 'ENC00009', 'ENC00145', 'ENC00074', 'ENC00315', 'ENC00130', 'ENC00144']"
212,212,ENR01067,CRF2-beta,Q133242,ENST00000452278,"['ENH00197', 'ENH00198', 'ENH00199']",[]
213,213,ENR01072,UTS2R,Q9UKP6,ENST00000313135,"['ENH00647', 'ENH00648']",[]
214,214,ENR01073,TXA2-R,P21731,ENST00000411851,['ENH00337'],[]
215,215,ENR01074,CRTH2,Q9Y5Y4,ENST00000332539,[],['ENC00420']
216,216,ENR01079,CAR,Q14994,ENST00000442691,[],['ENC00249']
217,217,ENR01081,PXR,O75469,ENST00000441957,[],"['ENC00184', 'ENC00127', 'ENC00249']"
218,218,ENR01082,TACI,O14836,ENST00000437538,"['ENH00566', 'ENH00568']","['ENC00127', 'ENC00144', 'ENC00130']"
